customer_id,frequency,monetary,recency_days,churned
12346.0,12,77556.46,325,0
12347.0,8,5633.32,1,0
12348.0,5,2019.4,74,0
12349.0,4,4428.69,18,0
12350.0,1,334.4,309,0
12351.0,1,300.93,374,1
12352.0,10,2849.84,35,0
12353.0,2,406.76,203,0
12354.0,1,1079.4,231,0
12355.0,2,947.61,213,0
12356.0,6,6373.68,22,0
12357.0,3,18287.66,32,0
12358.0,5,3887.07,1,0
12359.0,10,8935.94,57,0
12360.0,8,4252.89,51,0
12361.0,4,511.25,286,0
12362.0,11,5356.23,2,0
12363.0,2,552.0,109,0
12364.0,4,1313.1,7,0
12365.0,2,641.38,290,0
12366.0,1,500.24,633,1
12367.0,1,168.9,3,0
12368.0,1,917.7,627,1
12369.0,3,1791.15,412,1
12370.0,7,4320.31,50,0
12371.0,5,4067.38,44,0
12372.0,3,1298.04,71,0
12373.0,3,1127.65,310,0
12374.0,4,2989.22,24,0
12375.0,2,457.5,10,0
12376.0,2,503.15,389,1
12377.0,4,3426.32,314,0
12378.0,2,5416.32,129,0
12379.0,4,1620.22,81,0
12380.0,11,9676.3,21,0
12381.0,5,1845.31,4,0
12383.0,5,1850.56,184,0
12384.0,2,585.27,28,0
12385.0,1,1938.4,378,1
12386.0,2,660.8,337,0
12387.0,1,143.94,414,1
12388.0,8,3901.11,15,0
12389.0,3,1433.33,402,1
12390.0,1,549.84,79,0
12391.0,6,2773.42,21,0
12392.0,1,234.75,590,1
12393.0,6,2399.45,71,0
12394.0,2,1272.48,63,0
12395.0,15,5067.27,18,0
12396.0,1,931.43,673,1
12397.0,2,2409.9,35,0
12398.0,1,1635.66,45,0
12399.0,7,1962.3,118,0
12400.0,1,205.25,413,1
12401.0,1,84.3,302,0
12402.0,6,1256.9,322,0
12403.0,2,1019.36,49,0
12404.0,1,63.24,681,1
12405.0,1,1710.39,148,0
12406.0,5,6390.36,21,0
12407.0,5,1708.12,49,0
12408.0,8,4340.77,32,0
12409.0,7,23419.29,78,0
12410.0,3,1013.71,308,0
12411.0,1,346.9,409,1
12412.0,6,2596.93,74,0
12413.0,4,999.45,66,0
12414.0,6,952.41,216,0
12415.0,28,144458.37,23,0
12416.0,1,202.56,656,1
12417.0,20,6816.91,2,0
12418.0,4,2021.2,112,0
12419.0,2,503.01,385,1
12420.0,1,600.39,63,0
12421.0,6,1098.6,15,0
12422.0,17,5231.8,95,0
12423.0,10,2622.39,0,0
12424.0,4,3340.03,162,0
12425.0,2,1741.41,77,0
12426.0,2,1345.21,194,0
12427.0,3,1129.3,21,0
12428.0,9,7956.46,25,0
12429.0,8,7485.91,8,0
12430.0,1,256.4,42,0
12431.0,27,10857.97,35,0
12432.0,5,5059.32,42,0
12433.0,10,20581.26,0,0
12434.0,3,1103.43,84,0
12435.0,6,13925.93,79,0
12436.0,1,509.01,99,0
12437.0,39,12683.4,1,0
12438.0,2,2906.85,13,0
12439.0,2,1158.18,682,1
12440.0,2,859.2,461,1
12441.0,1,347.1,366,1
12442.0,1,172.06,2,0
12443.0,1,485.31,731,1
12444.0,5,5005.46,20,0
12445.0,2,434.98,21,0
12446.0,1,1002.31,57,0
12447.0,1,476.49,242,0
12448.0,1,449.45,43,0
12449.0,6,4835.89,21,0
12450.0,5,688.2,155,0
12451.0,8,12669.88,10,0
12452.0,2,430.57,16,0
12453.0,1,707.09,133,0
12454.0,5,16679.78,55,0
12455.0,10,5879.95,72,0
12456.0,3,3181.04,43,0
12457.0,8,2995.91,65,0
12458.0,4,1777.49,70,0
12459.0,1,454.36,604,1
12460.0,1,326.65,455,1
12461.0,2,826.88,93,0
12462.0,2,1189.59,18,0
12463.0,4,1344.78,52,0
12464.0,8,1212.05,9,0
12465.0,2,742.19,16,0
12466.0,1,56.73,681,1
12467.0,1,132.8,422,1
12468.0,5,3670.74,187,0
12469.0,2,3070.54,522,1
12470.0,1,211.95,689,1
12471.0,79,39963.79,1,0
12472.0,19,17880.59,31,0
12473.0,5,3938.55,28,0
12474.0,31,12424.45,16,0
12475.0,2,1149.64,53,0
12476.0,23,14115.41,15,0
12477.0,9,20276.37,22,0
12478.0,1,680.99,3,0
12479.0,1,527.2,10,0
12480.0,7,5464.85,27,0
12481.0,15,12361.39,22,0
12482.0,29,23691.4,575,1
12483.0,19,5120.58,16,0
12484.0,12,6370.15,32,0
12485.0,1,708.1,528,1
12486.0,1,1037.28,431,1
12487.0,1,285.3,730,1
12488.0,3,1298.66,9,0
12489.0,1,334.93,335,0
12490.0,21,9823.64,4,0
12491.0,1,460.4,38,0
12492.0,3,715.21,62,0
12493.0,2,433.74,165,0
12494.0,9,1872.87,15,0
12495.0,1,357.4,640,1
12496.0,2,54.09,619,1
12497.0,3,6248.5,81,0
12498.0,3,403.7,20,0
12499.0,1,393.72,559,1
12500.0,19,5955.21,22,0
12501.0,1,2169.39,336,0
12502.0,5,3723.87,95,0
12503.0,1,1126.0,583,1
12504.0,4,779.05,17,0
12505.0,1,955.2,408,1
12506.0,1,73.5,232,0
12507.0,4,1844.06,133,0
12508.0,2,398.27,25,0
12509.0,1,176.5,283,0
12510.0,9,5178.02,142,0
12511.0,1,3084.02,428,1
12512.0,2,138.03,65,0
